time,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z
0.005000,0.500000,0.500000,0.250000,0.000000,0.038462,0.000000,0.000000,7.692308,0.000000
0.010000,0.500000,0.500192,0.250000,0.000000,0.076028,0.000000,0.000000,7.513314,0.000000
0.015000,0.500000,0.500572,0.250000,0.000000,0.112713,0.000000,0.000000,7.337005,0.000000
0.020000,0.500000,0.501136,0.250000,0.000000,0.148530,0.000000,0.000000,7.163355,0.000000
0.025000,0.500000,0.501879,0.250000,0.000000,0.183492,0.000000,0.000000,6.992334,0.000000
0.030000,0.500000,0.502796,0.250000,0.000000,0.217611,0.000000,0.000000,6.823915,0.000000
0.035000,0.500000,0.503884,0.250000,0.000000,0.250902,0.000000,0.000000,6.658070,0.000000
0.040000,0.500000,0.505139,0.250000,0.000000,0.283375,0.000000,0.000000,6.494772,0.000000
0.045000,0.500000,0.506556,0.250000,0.000000,0.315045,0.000000,0.000000,6.333994,0.000000
0.050000,0.500000,0.508131,0.250000,0.000000,0.345924,0.000000,0.000000,6.175708,0.000000
0.055000,0.500000,0.509860,0.250000,0.000000,0.376023,0.000000,0.000000,6.019887,0.000000
0.060000,0.500000,0.511741,0.250000,0.000000,0.405356,0.000000,0.000000,5.866504,0.000000
0.065000,0.500000,0.513767,0.250000,0.000000,0.433933,0.000000,0.000000,5.715532,0.000000
0.070000,0.500000,0.515937,0.250000,0.000000,0.461768,0.000000,0.000000,5.566946,0.000000
0.075000,0.500000,0.518246,0.250000,0.000000,0.488872,0.000000,0.000000,5.420717,0.000000
0.080000,0.500000,0.520690,0.250000,0.000000,0.515256,0.000000,0.000000,5.276821,0.000000
0.085000,0.500000,0.523266,0.250000,0.000000,0.540932,0.000000,0.000000,5.135231,0.000000
0.090000,0.500000,0.525971,0.250000,0.000000,0.565912,0.000000,0.000000,4.995920,0.000000
0.095000,0.500000,0.528801,0.250000,0.000000,0.590206,0.000000,0.000000,4.858864,0.000000
0.100000,0.500000,0.531752,0.250000,0.000000,0.613826,0.000000,0.000000,4.724036,0.000000
0.105000,0.500000,0.534821,0.250000,0.000000,0.636783,0.000000,0.000000,4.591411,0.000000
0.110000,0.500000,0.538005,0.250000,0.000000,0.659088,0.000000,0.000000,4.460964,0.000000
0.115000,0.500000,0.541300,0.250000,0.000000,0.680751,0.000000,0.000000,4.332669,0.000000
0.120000,0.500000,0.544704,0.250000,0.000000,0.701784,0.000000,0.000000,4.206502,0.000000
0.125000,0.500000,0.548213,0.250000,0.000000,0.722196,0.000000,0.000000,4.082437,0.000000
0.130000,0.500000,0.551824,0.250000,0.000000,0.741998,0.000000,0.000000,3.960450,0.000000
0.135000,0.500000,0.555534,0.250000,0.000000,0.761201,0.000000,0.000000,3.840517,0.000000
0.140000,0.500000,0.559340,0.250000,0.000000,0.779814,0.000000,0.000000,3.722612,0.000000
0.145000,0.500000,0.563239,0.250000,0.000000,0.797848,0.000000,0.000000,3.606713,0.000000
0.150000,0.500000,0.567228,0.250000,0.000000,0.815312,0.000000,0.000000,3.492795,0.000000
0.155000,0.500000,0.571305,0.250000,0.000000,0.832216,0.000000,0.000000,3.380834,0.000000
0.160000,0.500000,0.575466,0.250000,0.000000,0.848570,0.000000,0.000000,3.270806,0.000000
0.165000,0.500000,0.579709,0.250000,0.000000,0.864383,0.000000,0.000000,3.162689,0.000000
0.170000,0.500000,0.584031,0.250000,0.000000,0.879665,0.000000,0.000000,3.056458,0.000000
0.175000,0.500000,0.588429,0.250000,0.000000,0.894426,0.000000,0.000000,2.952091,0.000000
0.180000,0.500000,0.592901,0.250000,0.000000,0.908674,0.000000,0.000000,2.849565,0.000000
0.185000,0.500000,0.597444,0.250000,0.000000,0.922418,0.000000,0.000000,2.748857,0.000000
0.190000,0.500000,0.602056,0.250000,0.000000,0.935668,0.000000,0.000000,2.649944,0.000000
0.195000,0.500000,0.606735,0.250000,0.000000,0.948432,0.000000,0.000000,2.552804,0.000000
0.200000,0.500000,0.611477,0.250000,0.000000,0.960719,0.000000,0.000000,2.457415,0.000000
0.205000,0.500000,0.616281,0.250000,0.000000,0.972538,0.000000,0.000000,2.363755,0.000000
0.210000,0.500000,0.621143,0.250000,0.000000,0.983897,0.000000,0.000000,2.271801,0.000000
0.215000,0.500000,0.626063,0.250000,0.000000,0.994804,0.000000,0.000000,2.181533,0.000000
0.220000,0.500000,0.631037,0.250000,0.000000,1.005269,0.000000,0.000000,2.092928,0.000000
0.225000,0.500000,0.636063,0.250000,0.000000,1.015299,0.000000,0.000000,2.005966,0.000000
0.230000,0.500000,0.641140,0.250000,0.000000,1.024902,0.000000,0.000000,1.920624,0.000000
0.235000,0.500000,0.646264,0.250000,0.000000,1.034086,0.000000,0.000000,1.836883,0.000000
0.240000,0.500000,0.651435,0.250000,0.000000,1.042860,0.000000,0.000000,1.754721,0.000000
0.245000,0.500000,0.656649,0.250000,0.000000,1.051230,0.000000,0.000000,1.674117,0.000000
0.250000,0.500000,0.661905,0.250000,0.000000,1.059206,0.000000,0.000000,1.595052,0.000000
0.255000,0.500000,0.667201,0.250000,0.000000,1.066793,0.000000,0.000000,1.517504,0.000000
0.260000,0.500000,0.672535,0.250000,0.000000,1.074001,0.000000,0.000000,1.441454,0.000000
0.265000,0.500000,0.677905,0.250000,0.000000,1.080835,0.000000,0.000000,1.366882,0.000000
0.270000,0.500000,0.683309,0.250000,0.000000,1.087304,0.000000,0.000000,1.293768,0.000000
0.275000,0.500000,0.688746,0.250000,0.000000,1.093414,0.000000,0.000000,1.222093,0.000000
0.280000,0.500000,0.694213,0.250000,0.000000,1.099173,0.000000,0.000000,1.151836,0.000000
0.285000,0.500000,0.699709,0.250000,0.000000,1.104588,0.000000,0.000000,1.082980,0.000000
0.290000,0.500000,0.705232,0.250000,0.000000,1.109666,0.000000,0.000000,1.015504,0.000000
